term,coef_log_odds,sd,z_approx,p_value_approx,odds_ratio,or_ci_95_low,or_ci_95_high
Intercept,-2.888946675087836,0.12175083522538324,-23.72835200464837,1.8385493401727132e-124,0.05563478326229796,0.04382379640871092,0.07062895874597543
"C(channel_niche, Treatment(reference='Lifestyle'))[T.Beauty]",-1.700602053880818,0.2523272637374354,-6.739668273224792,1.5874864776547255e-11,0.18257357183001957,0.11134035689209983,0.29938029714665376
"C(channel_niche, Treatment(reference='Lifestyle'))[T.Tech]",0.25651090807367843,0.17834709765149798,1.4382679138121872,0.1503580521673822,1.292412863457528,0.9111484854210465,1.8332149329739795
top_comment_skeptical,1.6656534261761642,0.21146221164458998,7.87683725249063,3.3577180043297866e-15,5.289128175667392,3.4944901714450487,8.005424392729212
"top_comment_skeptical:C(channel_niche, Treatment(reference='Lifestyle'))[T.Beauty]",3.7082331058262885,0.3140377798826587,11.808238827862949,3.538965500548801e-32,40.78168590777761,22.036916224050103,75.47090021903989
"top_comment_skeptical:C(channel_niche, Treatment(reference='Lifestyle'))[T.Tech]",-1.32592446676061,0.3874181827799143,-3.4224631824104272,0.0006205650145581313,0.2655573466361439,0.1242742943675788,0.567460106784777
top_comment_like_count_z,-1.535961306480334,0.5072446201826879,-3.0280484905431746,0.002461385880516711,0.21524867173809875,0.0796462151687357,0.581722440757021
top_comment_skeptical:top_comment_like_count_z,-0.4318400647787358,0.9374707092663782,-0.4606437945316437,0.6450541857370908,0.6493132164340496,0.10338631715278533,4.077983089511496
hours_since_top_comment_z,-0.02522526677799783,0.14166922536957327,-0.1780574906949095,0.8586778259949994,0.9750902318511525,0.7386752140354703,1.2871705212053832
top_comment_skeptical:hours_since_top_comment_z,0.41197276136836947,0.501368044549863,0.8216972857499242,0.4112492043484135,1.5097933110648112,0.5651248459571216,4.0335792319932775
